S NO,NAME,Gender,LANGUAGE_10,ENGLISH_10,MATHS_10,SCIENCE_10,SOCIAL_STUDIES_10,LANGUAGE_12,ENGLISH_12,BUSINESS_MATHS_12,COMMERCE_12,ECONOMICS_12,ACCOUNTANCY_12,CertificationGained_MB,Olympiads Qualified,Technical Projects,STATUS,,,,,,,,,,,,STATUS_CB,STATUS_CA
45,pavithra,Female,98,87,87,77,66,84,84,72,48,56,64,Commerce,6,3,,,,,,,,,,,,,,
46,divya,Female,87,94,82,87,55,47,41,71,96,80,70,Business Maths,6,3,,,,,,,,,,,,,,
47,yogeshwari,Female,84,98,85,77,99,86,58,88,53,62,92,Economics,3,1,,,,,,,,,,,,,,
48,jenitha,Female,78,97,86,99,88,95,45,91,60,46,55,Accountancy,4,4,,,,,,,,,,,,,,
49,priya,Female,77,95,89,99,77,89,56,64,64,89,97,English,0,0,,,,,,,,,,,,,,
50,malvika,Female,58,96,82,88,55,90,70,87,84,56,79,Commerce,0,0,,,,,,,,,,,,,,
51,nayanthara,Female,74,94,89,99,88,61,86,51,50,71,54,Business Maths,4,2,,,,,,,,,,,,,,
52,gopika,Female,78,93,68,99,55,61,83,80,44,66,65,Accountancy,6,2,,,,,,,,,,,,,,
53,kowsalya,Female,79,92,98,88,88,97,82,95,81,67,96,Commerce,6,2,,,,,,,,,,,,,,
54,praveena,Female,75,68,97,88,44,42,85,74,75,78,78,Accountancy,0,0,,,,,,,,,,,,,,
55,nivetha,Female,76,98,96,88,55,52,70,55,93,81,77,Economics,4,3,,,,,,,,,,,,,,
56,atchaya,Female,71,97,95,77,55,80,51,94,59,78,95,English,4,1,,,,,,,,,,,,,,
57,sumithra,Female,72,96,94,55,99,79,73,79,45,84,61,Commerce,1,1,,,,,,,,,,,,,,
58,oviyaa,Female,73,95,98,44,99,57,97,83,80,96,58,Business Maths,4,2,,,,,,,,,,,,,,
59,sandy,Female,48,94,97,55,99,78,94,69,84,56,93,Commerce,3,2,,,,,,,,,,,,,,
60,sandhiya,Female,47,91,96,88,99,58,72,93,78,82,61,Accountancy,2,1,,,,,,,,,,,,,,
61,jennifer,Female,84,92,95,87,99,48,56,75,87,93,60,Economics,5,1,,,,,,,,,,,,,,
62,hema,Female,86,93,94,97,99,64,91,50,54,95,92,English,1,1,,,,,,,,,,,,,,
63,shamala,Female,98,98,97,96,99,93,74,75,51,99,83,Accountancy,3,0,,,,,,,,,,,,,,
64,madhu,Female,98,98,92,97,99,41,66,72,86,68,58,English,7,4,,,,,,,,,,,,,,
65,rahul,Male,97,96,91,96,66,49,43,65,81,63,76,Economics,5,1,,,,,,,,,,,,,,
66,varun,Male,96,95,93,95,66,92,80,45,46,84,56,Accountancy,3,2,,,,,,,,,,,,,,
67,ram,Male,95,98,98,94,66,92,73,73,77,88,54,Business Maths,4,0,,,,,,,,,,,,,,
68,ravi,Male,94,97,97,97,66,59,62,65,68,62,74,Commerce,1,1,,,,,,,,,,,,,,
69,tharun,Male,93,96,96,96,87,57,60,88,75,61,79,Accountancy,5,2,,,,,,,,,,,,,,
70,saran,Male,97,98,95,95,77,73,92,74,69,86,94,Economics,1,1,,,,,,,,,,,,,,
71,charan,Male,95,97,94,98,77,46,72,56,45,84,72,English,3,2,,,,,,,,,,,,,,
72,karan,Male,94,96,93,66,87,45,86,91,87,97,76,Accountancy,4,3,,,,,,,,,,,,,,
73,yogi,Male,96,95,92,87,98,40,86,72,83,46,94,English,5,4,,,,,,,,,,,,,,
74,velu,Male,92,94,91,55,55,65,45,88,84,92,66,Economics,0,0,,,,,,,,,,,,,,
75,surya,Male,91,93,90,87,55,94,59,57,89,94,65,Accountancy,5,2,,,,,,,,,,,,,,
76,ajith,Male,94,92,96,88,55,49,92,52,51,90,56,Business Maths,5,2,,,,,,,,,,,,,,
77,abdul,Male,97,91,93,88,55,55,72,64,61,53,55,Accountancy,6,4,,,,,,,,,,,,,,
78,rahman,Male,88,97,92,88,77,77,80,77,93,91,93,Business Maths,8,3,,,,,,,,,,,,,,
79,prakash,Male,95,98,95,88,77,75,42,91,97,66,58,Accountancy,4,3,,,,,,,,,,,,,,
80,sreenith,Male,95,95,98,88,77,92,71,48,90,57,56,Economics,2,1,,,,,,,,,,,,,,
81,paramesh,Male,66,94,89,77,87,73,95,41,88,60,72,English,3,2,,,,,,,,,,,,,,
82,vishnu,Male,85,96,98,77,88,75,89,65,92,54,87,Economics,5,2,,,,,,,,,,,,,,
83,vishal,Male,85,93,65,77,88,95,42,64,76,91,76,Accountancy,4,2,,,,,,,,,,,,,,
84,harish,Male,89,92,98,77,88,53,82,59,49,99,51,Business Maths,6,5,,,,,,,,,,,,,,
85,hariram,Male,39,47,97,55,88,90,81,42,59,80,84,Accountancy,2,1,,,,,,,,,,,,,,
86,gowtham,Male,56,87,66,55,88,47,51,67,57,70,59,English,4,1,,,,,,,,,,,,,,
87,mukundhan,Male,25,98,95,66,88,55,58,65,74,83,82,Economics,5,2,,,,,,,,,,,,,,
88,vijaya,Female,88,84,98,99,89,58,56,59,93,70,99,Economics,2,2,,,,,,,,,,,,,,
89,bhuvanika,Female,98,85,97,55,45,73,90,83,57,75,78,Commerce,8,4,,,,,,,,,,,,,,
90,boomika,Female,65,86,96,55,87,92,92,73,89,62,51,Business Maths,6,3,,,,,,,,,,,,,,
91,poorvisha,Female,98,81,95,55,48,80,80,79,57,81,95,Economics,3,2,,,,,,,,,,,,,,
92,vyshya,Female,65,82,94,55,88,90,79,50,61,60,51,Accountancy,3,2,,,,,,,,,,,,,,
93,deepika,Female,97,83,93,88,44,82,41,94,63,85,53,English,3,1,,,,,,,,,,,,,,
94,sreemathi,Female,65,98,92,55,55,91,82,71,53,90,69,Commerce,3,1,,,,,,,,,,,,,,
95,jeevika,Female,98,98,91,88,55,54,75,76,90,82,56,Business Maths,5,4,,,,,,,,,,,,,,
96,bhuvaneshwari,Female,65,87,98,55,22,79,50,45,94,72,65,Accountancy,2,1,,,,,,,,,,,,,,
97,subhasree,Female,67,65,65,44,55,88,65,90,89,74,72,Commerce,0,0,,,,,,,,,,,,,,
98,jaisree,Female,64,65,65,97,88,59,44,48,44,68,95,Accountancy,5,2,,,,,,,,,,,,,,
99,dharshini,Female,68,57,98,97,88,71,82,54,88,53,76,Economics,4,1,,,,,,,,,,,,,,
100,bhavadharani,Female,69,65,97,96,88,63,55,40,67,93,96,English,4,3,,,,,,,,,,,,,,
101,abarna,Female,98,88,95,95,88,42,74,60,95,70,77,Commerce,6,5,,,,,,,,,,,,,,
102,jesimma,Female,98,98,94,94,100,54,94,91,75,50,69,Business Maths,2,1,,,,,,,,,,,,,,
103,dhanushya,Female,97,97,95,66,88,43,92,48,89,79,97,Commerce,6,5,,,,,,,,,,,,,,
104,aiswarya,Female,96,68,99,66,88,60,79,85,56,94,99,Accountancy,6,5,,,,,,,,,,,,,,
105,saranya,Female,95,99,92,55,99,86,53,74,97,50,47,Economics,7,4,,,,,,,,,,,,,,
106,James Walker,Male,52,87,55,45,56,75,66,64,79,60,94,English,2,0,,,,,,,,,,,,,,
107,Velma Clemons,Male,90,64,75,96,78,95,81,53,86,54,94,Accountancy,3,1,,,,,,,,,,,,,,
108,Kibo Underwood,Male,95,76,25,54,89,84,79,48,80,79,52,English,1,1,,,,,,,,,,,,,,
109,Louis Mcgee,Female,54,63,78,96,86,79,53,74,86,58,65,Economics,4,1,,,,,,,,,,,,,,
110,Phyllis Paul,Male,96,46,58,96,78,75,84,77,57,49,47,Accountancy,2,1,,,,,,,,,,,,,,
111,Zenaida Decker,Female,55,89,45,87,52,50,90,68,49,60,48,Business Maths,3,1,,,,,,,,,,,,,,
112,Gillian Tillman,Male,75,58,55,64,61,45,63,45,93,86,82,Commerce,3,1,,,,,,,,,,,,,,
113,Constance Boone,Male,25,56,54,76,87,50,62,81,89,62,55,Accountancy,5,3,,,,,,,,,,,,,,
114,Giselle Lancaster,Female,78,75,55,63,89,86,86,87,96,53,83,Economics,5,3,,,,,,,,,,,,,,
115,Kirsten Mcdowell,Male,58,83,96,46,77,73,49,72,88,82,82,English,6,5,,,,,,,,,,,,,,
116,Jake Moss,Male,52,89,65,68,99,95,42,40,64,46,51,Accountancy,2,1,,,,,,,,,,,,,,
117,Jake Moss,Male,61,58,2,79,90,53,52,47,71,92,83,English,4,1,,,,,,,,,,,,,,
118,Sujith,Male,87,56,74,98,96,91,60,76,54,90,51,Economics,3,1,,,,,,,,,,,,,,
119,Oliver Bradley,Male,89,75,45,64,97,80,87,86,96,80,75,Accountancy,9,3,,,,,,,,,,,,,,
120,Adam Clark,Male,77,83,53,82,98,69,57,81,55,95,73,Business Maths,4,2,,,,,,,,,,,,,,
121,Suganya,Female,89,87,52,77,89,79,70,93,78,86,62,Accountancy,0,0,,,,,,,,,,,,,,
122,Sarvesh,Male,58,64,61,98,89,74,76,90,44,54,83,Business Maths,4,2,,,,,,,,,,,,,,
123,Jake Moss,Male,56,76,87,68,79,46,78,66,91,54,49,Accountancy,5,4,,,,,,,,,,,,,,
124,John,Male,75,63,89,100,88,85,50,47,80,59,85,Economics,5,4,,,,,,,,,,,,,,
125,Suresh,Male,83,46,77,83,75,69,73,54,89,55,64,English,6,3,,,,,,,,,,,,,,
126,Ramesh,Male,99,74,72,72,76,47,40,42,85,62,62,Economics,10,3,,,,,,,,,,,,,,
127,Jessica,Female,72,72,87,69,79,60,63,58,45,95,57,Accountancy,9,4,,,,,,,,,,,,,,
128,Jennifer,Female,69,50,57,90,99,82,88,50,57,97,50,Business Maths,4,2,,,,,,,,,,,,,,
129,Annu,Female,90,91,98,47,99,48,92,59,61,49,61,Accountancy,6,4,,,,,,,,,,,,,,
130,pooja,Female,47,66,55,76,76,86,52,73,92,59,93,English,4,3,,,,,,,,,,,,,,
131,Ritesh,Male,76,61,78,71,90,51,57,68,91,82,63,Economics,7,5,,,,,,,,,,,,,,
132,Farha,Female,71,82,67,88,33,66,84,51,58,62,62,Economics,2,2,,,,,,,,,,,,,,
133,Mukesh,Male,88,87,61,40,37,96,84,47,64,74,50,Commerce,4,1,,,,,,,,,,,,,,
134,"Braund, Mr. Owen Harris",Male,40,62,75,64,67,96,62,85,81,56,86,Business Maths,4,3,,,,,,,,,,,,,,
135,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Female,64,61,67,38,79,83,81,75,74,50,79,Economics,0,0,,,,,,,,,,,,,,
136,"Heikkinen, Miss. Laina",Female,38,84,85,58,19,43,82,45,79,95,80,Accountancy,5,3,,,,,,,,,,,,,,
137,Futrelle,Female,58,59,63,40,89,66,56,41,74,69,64,English,3,1,,,,,,,,,,,,,,
138,Allen,Male,40,72,90,65,89,79,81,44,70,51,67,Commerce,3,1,,,,,,,,,,,,,,
139,"Moran, Mr. James",Male,65,88,45,78,98,93,85,41,93,96,73,Business Maths,3,2,,,,,,,,,,,,,,
140,"McCarthy, Mr. Timothy J",Male,78,62,49,50,65,40,42,61,69,93,85,Accountancy,4,3,,,,,,,,,,,,,,
141,"Palsson, Master. Gosta Leonard",Male,50,56,64,69,68,72,69,52,93,67,66,Commerce,3,1,,,,,,,,,,,,,,
142,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",Female,69,85,45,88,98,79,87,67,81,81,73,Accountancy,6,2,,,,,,,,,,,,,,
143,"Nasser, Mrs. Nicholas (Adele Achem)",Female,88,90,55,18,98,89,59,75,59,54,81,Economics,3,1,,,,,,,,,,,,,,
144,"Sandstrom, Miss. Marguerite Rut",Female,18,59,51,46,87,85,44,50,51,59,83,English,5,3,,,,,,,,,,,,,,
145,"Bonnell, Miss. Elizabeth",Female,46,90,43,54,95,59,81,66,84,56,87,Commerce,4,2,,,,,,,,,,,,,,
146,"Saundercock, Mr. William Henry",Male,54,59,52,66,98,78,40,52,49,70,52,Business Maths,6,4,,,,,,,,,,,,,,
147,"Andersson, Mr. Anders Johan",Male,66,53,99,65,97,48,46,68,81,72,66,Commerce,3,2,,,,,,,,,,,,,,
148,"Vestrom, Miss. Hulda Amanda Adolfina",Female,65,91,54,44,98,76,79,67,65,91,72,Accountancy,8,3,,,,,,,,,,,,,,
149,"Hewlett, Mrs. (Mary D Kingcome) ",Female,44,71,55,69,94,74,43,76,90,77,49,Economics,4,3,,,,,,,,,,,,,,
150,"Rice, Master. Eugene",Male,69,71,67,74,95,65,48,46,50,53,85,English,5,3,,,,,,,,,,,,,,
151,"Williams, Mr. Charles Eugene",Male,74,55,63,73,96,74,64,75,65,91,50,Accountancy,2,1,,,,,,,,,,,,,,
152,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",Female,73,84,71,69,97,67,61,89,78,66,74,English,3,1,,,,,,,,,,,,,,
153,"Masselmani, Mrs. Fatima",Female,69,55,42,67,91,42,65,84,85,81,77,Economics,5,2,,,,,,,,,,,,,,
154,"Fynney, Mr. Joseph J",Female,67,90,44,70,92,77,91,78,59,66,76,Accountancy,5,3,,,,,,,,,,,,,,
155,"Beesley, Mr. Lawrence",Male,70,82,44,62,93,48,60,54,87,48,78,Business Maths,5,2,,,,,,,,,,,,,,
156,"McGowan, Miss. Anna ""Annie""",Female,62,73,87,69,97,75,85,45,86,69,56,Commerce,4,3,,,,,,,,,,,,,,
157,"Sloper, Mr. William Thompson",Male,69,59,77,63,95,96,91,86,79,74,65,Accountancy,4,3,,,,,,,,,,,,,,
158,"Palsson, Miss. Torborg Danira",Female,63,52,55,56,87,48,84,93,82,82,54,Economics,5,3,,,,,,,,,,,,,,
159,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",Female,56,71,43,40,56,55,80,58,50,52,69,English,3,2,,,,,,,,,,,,,,
160,"Emir, Mr. Farred Chehab",Male,40,86,50,97,98,61,54,64,94,55,86,Accountancy,3,2,,,,,,,,,,,,,,
161,"Fortune, Mr. Charles Alexander",Male,97,62,55,81,87,74,62,93,45,82,78,English,3,1,,,,,,,,,,,,,,
162,"O'Dwyer, Miss. Ellen ""Nellie""",Female,81,74,88,74,84,94,81,51,51,51,88,Economics,1,1,,,,,,,,,,,,,,
163,"Todoroff, Mr. Lalio",Male,74,63,72,50,78,51,52,49,48,46,91,Accountancy,2,1,,,,,,,,,,,,,,
164,"Uruchurtu, Don. Manuel E",Male,50,72,59,75,77,52,96,60,47,97,67,Business Maths,2,0,,,,,,,,,,,,,,
165,"Spencer, Mrs. William Augustus (Marie Eugenie)",Female,75,99,100,57,58,92,83,83,57,59,48,Accountancy,7,3,,,,,,,,,,,,,,
166,"Glynn, Miss. Mary Agatha",Female,57,60,91,55,74,56,52,50,87,70,86,Business Maths,4,1,,,,,,,,,,,,,,
167,"Wheadon, Mr. Edward H",Male,55,84,76,58,78,73,74,82,79,58,59,Accountancy,6,1,,,,,,,,,,,,,,
168,"Meyer, Mr. Edgar Joseph",Male,58,52,91,53,79,61,60,46,90,48,83,Economics,0,0,,,,,,,,,,,,,,
169,"Holverson, Mr. Alexander Oskar",Male,53,95,98,59,75,49,83,84,87,59,52,English,2,2,,,,,,,,,,,,,,
170,"Mamee, Mr. Hanna",Male,59,51,98,50,76,53,85,46,92,90,92,Economics,4,2,,,,,,,,,,,,,,
171,"Cann, Mr. Ernest Charles",Male,50,53,42,65,71,87,84,40,65,63,54,Accountancy,0,0,,,,,,,,,,,,,,
172,"Vander Planke, Miss. Augusta Maria",Female,65,60,97,55,72,61,70,40,71,86,70,Business Maths,0,0,,,,,,,,,,,,,,
173,"Nicola-Yarred, Miss. Jamila",Female,55,67,60,66,73,82,64,91,59,51,95,Accountancy,0,0,,,,,,,,,,,,,,
174,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",Female,66,84,89,57,48,56,43,79,65,88,54,English,2,0,,,,,,,,,,,,,,
175,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",Female,57,87,58,82,47,57,60,45,71,99,49,Economics,0,0,,,,,,,,,,,,,,
176,"Kraeff, Mr. Theodor",Male,82,84,77,53,84,61,84,60,82,60,89,Economics,0,0,,,,,,,,,,,,,,
177,"Laroche, Miss. Simonne Marie Anne Andree",Female,53,71,66,77,86,93,68,67,53,91,96,Commerce,2,1,,,,,,,,,,,,,,
178,"Devaney, Miss. Margaret Delia",Female,77,56,93,53,98,68,47,47,86,62,58,Business Maths,6,2,,,,,,,,,,,,,,
179,"Rogers, Mr. William John",Male,53,93,83,88,98,59,47,49,50,92,73,Economics,0,0,,,,,,,,,,,,,,
180,"Lennon, Mr. Denis",Male,88,64,84,71,97,49,73,71,92,59,82,Accountancy,2,1,,,,,,,,,,,,,,
181,"O'Driscoll, Miss. Bridget",Female,71,75,62,33,96,72,93,73,62,66,58,English,4,1,,,,,,,,,,,,,,
182,"Samaan, Mr. Youssef",Male,33,53,52,82,95,40,42,61,58,70,51,Commerce,0,0,,,,,,,,,,,,,,
183,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",Female,82,62,72,52,94,81,67,57,78,63,93,Business Maths,2,2,,,,,,,,,,,,,,
184,"Panula, Master. Juha Niilo",Male,52,98,61,58,93,56,41,58,60,67,70,Accountancy,6,4,,,,,,,,,,,,,,
185,"Nosworthy, Mr. Richard Cater",Male,58,57,77,0,97,79,86,61,59,89,85,Commerce,4,4,,,,,,,,,,,,,,
186,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Female,0,89,47,79,95,40,51,60,71,85,61,Accountancy,5,2,,,,,,,,,,,,,,
187,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",Female,79,100,90,39,94,50,83,43,75,63,77,Economics,5,2,,,,,,,,,,,,,,
188,"Ostby, Mr. Engelhart Cornelius",Male,39,64,80,62,96,75,61,52,73,84,65,English,6,5,,,,,,,,,,,,,,
189,"Woolner, Mr. Hugh",Male,62,92,81,69,92,86,71,96,87,54,73,Commerce,6,2,,,,,,,,,,,,,,
190,"Rugg, Miss. Emily",Female,69,86,52,59,91,75,85,73,69,74,62,Business Maths,6,4,,,,,,,,,,,,,,
191,"Novel, Mr. Mansouer",Male,59,70,47,67,94,92,65,83,79,49,89,Commerce,6,4,,,,,,,,,,,,,,
192,"West, Miss. Constance Mirium",Male,67,52,71,45,97,77,75,43,97,67,49,Accountancy,3,2,,,,,,,,,,,,,,
193,"Goodwin, Master. William Frederick",Male,45,79,76,60,88,46,61,63,86,69,59,Economics,6,5,,,,,,,,,,,,,,
194,"Sirayanian, Mr. Orsen",Male,60,79,59,61,95,90,85,56,54,63,62,English,3,1,,,,,,,,,,,,,,
195,"Icard, Miss. Amelie",Female,61,85,62,39,95,71,55,91,67,65,59,Accountancy,0,0,,,,,,,,,,,,,,
196,"Harris, Mr. Henry Birkhardt",Male,39,79,99,58,66,91,45,48,59,48,55,English,2,0,,,,,,,,,,,,,,
197,"Skoog, Master. Harald",Male,58,50,55,63,85,90,77,57,61,99,79,Economics,2,0,,,,,,,,,,,,,,
198,"Stewart, Mr. Albert A",Male,63,94,75,41,85,73,82,60,78,92,83,Accountancy,2,0,,,,,,,,,,,,,,
199,"Moubarek, Master. Gerios",Male,41,81,52,61,89,57,71,62,86,75,69,Business Maths,5,3,,,,,,,,,,,,,,
200,"Nye, Mrs. (Elizabeth Ramell)",Female,61,75,52,49,39,83,82,71,66,49,94,Commerce,0,0,,,,,,,,,,,,,,
201,"Crease, Mr. Ernest James",Male,49,99,58,44,56,85,80,42,97,73,57,Accountancy,4,2,,,,,,,,,,,,,,
202,"Andersson, Miss. Erna Alexandra",Female,44,93,83,30,25,82,95,84,54,90,94,Economics,4,2,,,,,,,,,,,,,,
203,"Kink, Mr. Vincenz",Male,30,67,85,80,88,85,86,54,68,70,63,English,4,3,,,,,,,,,,,,,,
204,"Jenkin, Mr. Stephen Curnow",Male,80,86,66,61,98,77,77,70,90,52,62,Accountancy,3,1,,,,,,,,,,,,,,
205,"Goodwin, Miss. Lillian Amy",Female,61,81,71,62,65,86,76,60,91,51,59,English,4,3,,,,,,,,,,,,,,
206,"Hood, Mr. Ambrose Jr",Male,62,94,70,47,98,46,65,43,97,56,63,Economics,4,3,,,,,,,,,,,,,,
207,"Chronopoulos, Mr. Apostolos",Male,47,92,60,49,65,83,58,50,73,89,52,Accountancy,4,3,,,,,,,,,,,,,,
208,"Bing, Mr. Lee",Male,49,53,70,50,97,45,77,60,62,69,64,Business Maths,4,1,,,,,,,,,,,,,,
209,"Moen, Mr. Sigurd Hansen",Male,50,62,48,72,65,86,82,78,75,94,65,Accountancy,0,0,,,,,,,,,,,,,,
210,"Staneff, Mr. Ivan",Male,72,92,75,42,98,61,67,94,73,82,90,Business Maths,3,1,,,,,,,,,,,,,,
211,"Moutal, Mr. Rahamin Haim",Male,42,66,50,73,65,94,78,58,54,77,96,Accountancy,0,0,,,,,,,,,,,,,,
212,"Caldwell, Master. Alden Gates",Male,73,52,93,76,67,88,97,49,57,74,53,Economics,2,1,,,,,,,,,,,,,,
213,"Dowdell, Miss. Elizabeth",Female,76,82,90,71,64,50,79,48,79,48,51,English,4,1,,,,,,,,,,,,,,
214,"Waelens, Mr. Achille",Male,71,87,86,58,68,41,55,62,76,90,47,Economics,7,3,,,,,,,,,,,,,,
215,"Sheerlinck, Mr. Jan Baptist",Male,58,96,54,73,69,81,75,43,94,62,79,Accountancy,4,2,,,,,,,,,,,,,,
216,"McDermott, Miss. Brigdet Delia",Female,73,81,79,65,98,77,46,51,97,61,61,Business Maths,6,3,,,,,,,,,,,,,,
217,"Carrau, Mr. Francisco M",Male,65,60,82,27,98,63,54,53,54,93,82,Accountancy,3,3,,,,,,,,,,,,,,
218,"Ilett, Miss. Bertha",Female,27,50,68,71,97,72,64,65,88,96,66,English,0,4,,,,,,,,,,,,,,
219,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",Female,71,93,51,43,96,49,43,68,74,69,70,Economics,4,1,,,,,,,,,,,,,,
220,"Ford, Mr. William Neal",Male,43,55,86,79,95,56,75,63,54,46,82,Economics,1,1,,,,,,,,,,,,,,
221,"Slocovski, Mr. Selman Francis",Male,79,58,97,78,52,56,68,50,96,85,93,Commerce,2,1,,,,,,,,,,,,,,
222,"Fortune, Miss. Mabel Helen",Female,78,98,75,65,90,80,78,83,54,49,68,Business Maths,5,6,,,,,,,,,,,,,,
223,"Celotti, Mr. Francesco",Male,65,95,61,63,95,97,59,68,57,65,96,Economics,5,8,,,,,,,,,,,,,,
224,"Christmann, Mr. Emil",Male,63,94,63,58,54,75,52,40,89,78,63,Accountancy,2,6,,,,,,,,,,,,,,
225,"Andreasson, Mr. Paul Edvin",Male,58,61,92,65,96,97,66,69,48,67,59,English,6,1,,,,,,,,,,,,,,
